label	value
Dobřeň, okr. Mělník	melnik/dobren
Neumětely, okr. Beroun	beroun/neumetely
Nižbor, okr. Beroun	beroun/nizbor
Nový Jáchymov, okr. Beroun	beroun/novy-jachymov
Nučice, okr. Praha-západ	praha-zapad/nucice
Olešná, okr. Beroun	beroun/olesna
Osek, okr. Beroun	beroun/osek
Osov, okr. Beroun	beroun/osov
Kanina, okr. Mělník	melnik/kanina
Otročiněves, okr. Beroun	beroun/otrocineves
Lobeč, okr. Mělník	melnik/lobec
Podluhy, okr. Beroun	beroun/podluhy
Praskolesy, okr. Beroun	beroun/praskolesy
Nosálov, okr. Mělník	melnik/nosalov
Rpety, okr. Beroun	beroun/rpety
Rudná, okr. Praha-západ	praha-zapad/rudna
Stránka, okr. Mělník	melnik/stranka
